Date,Product Category,Product Name,Price (USD),Units Sold,Revenue (USD),Customer Rating,Sustainability Score,Region,Competitor Name
09/10/2024,Wall Art,Metal Wall Sculpture,481.31,29,13957.99,5,2,USA,Williams-Sonoma
17/10/2024,Storage,Bookshelf,944.45,39,36833.55,3.8,9,USA,IKEA
03/09/2024,Rugs & Carpets,Persian Rug,590.93,60,35455.8,4.7,10,India,Urban Ladder
04/12/2024,Wall Art,Metal Wall Sculpture,280.03,9,2520.27,3.7,5,UK,Urban Ladder
05/12/2024,Rugs & Carpets,Jute Rug,456.45,18,8216.1,4.6,2,Germany,Wayfair
07/07/2024,Wall Art,Metal Wall Sculpture,1034.84,43,44498.12,4.9,5,Canada,Ashley Furniture
14/04/2024,Furniture,Glass Coffee Table,971.33,22,21369.26,4.8,7,UK,Ashley Furniture
05/05/2024,Wall Art,Metal Wall Sculpture,958.88,57,54656.16,3.8,4,Australia,Williams-Sonoma
08/02/2024,Storage,Shoe Rack,318.67,26,8285.42,4.5,7,Germany,Williams-Sonoma
20/05/2024,Storage,Shoe Rack,474.51,7,3321.57,3.7,10,India,Ashley Furniture
25/02/2024,Lighting,Chandelier,1182.19,32,37830.08,3.8,3,UK,Wayfair
21/03/2024,Storage,Shoe Rack,571.23,16,9139.68,3.9,4,Australia,Urban Ladder
23/07/2024,Wall Art,Canvas Painting,701.03,9,6309.27,4.6,5,USA,Williams-Sonoma
10/01/2025,Rugs & Carpets,Jute Rug,440.08,54,23764.32,4.4,3,Australia,Wayfair
20/05/2024,Storage,Wall-mounted Cabinet,997.3,18,17951.4,4.3,8,Canada,Williams-Sonoma
23/12/2024,Storage,Bookshelf,149.93,22,3298.46,4.3,6,India,Wayfair
15/09/2024,Wall Art,Metal Wall Sculpture,596.97,5,2984.85,4.6,10,India,Wayfair
22/10/2024,Rugs & Carpets,Modern Carpet,1198.4,17,20372.8,4.9,6,India,Wayfair
30/03/2024,Furniture,Recliner Sofa,703.78,58,40819.24,3.8,1,Germany,Williams-Sonoma
12/01/2025,Wall Art,Metal Wall Sculpture,859.63,31,26648.53,3.6,5,Germany,Williams-Sonoma
25/06/2024,Wall Art,Canvas Painting,407.82,55,22430.1,4.6,6,Germany,Williams-Sonoma
09/10/2024,Rugs & Carpets,Modern Carpet,177.05,29,5134.45,4.5,9,UK,Williams-Sonoma
12/10/2024,Rugs & Carpets,Persian Rug,1025.91,27,27699.57,3.8,1,India,Urban Ladder
16/07/2024,Rugs & Carpets,Jute Rug,1187.89,48,57018.72,4.1,8,UK,Urban Ladder
30/06/2024,Storage,Wall-mounted Cabinet,729.48,29,21154.92,4,8,USA,Wayfair
15/06/2024,Furniture,Glass Coffee Table,436.37,37,16145.69,4.5,8,UK,Urban Ladder
26/02/2024,Storage,Wall-mounted Cabinet,335.62,32,10739.84,4.2,7,Australia,Urban Ladder
14/10/2024,Furniture,Wooden Dining Table,35.92,18,646.56,3.6,8,Canada,Urban Ladder
28/10/2024,Storage,Bookshelf,576.74,54,31143.96,4.5,6,Canada,Williams-Sonoma
11/02/2024,Rugs & Carpets,Jute Rug,566.4,18,10195.2,4,3,Canada,Urban Ladder
18/03/2024,Rugs & Carpets,Modern Carpet,582.27,40,23290.8,4.2,10,Canada,Wayfair
25/11/2024,Lighting,Chandelier,733.01,31,22723.31,4.2,3,India,Urban Ladder
14/11/2024,Storage,Bookshelf,732.87,17,12458.79,3.7,1,UK,IKEA
12/09/2024,Wall Art,Framed Photograph,127.75,28,3577,4.3,1,Germany,Ashley Furniture
05/02/2025,Rugs & Carpets,Persian Rug,466.95,37,17277.15,4.1,6,Canada,Williams-Sonoma
18/04/2024,Lighting,Chandelier,1116.04,54,60266.16,4.2,8,Australia,Ashley Furniture
04/04/2024,Rugs & Carpets,Modern Carpet,786.36,42,33027.12,4,7,Australia,Ashley Furniture
