Date,Product Category,Product Name,Price (USD),Units Sold,Revenue (USD),Customer Rating,Sustainability Score,Region,Competitor Name
13/09/2024,Fashion,Silk Scarf,418.45,35,14645.75,4.6,4,Germany,Wayfair
17/05/2024,Wellness,Aromatherapy Diffuser,1169.73,23,26903.79,5,10,USA,IKEA
02/12/2024,Wellness,Smart Water Bottle,983.4,19,18684.6,3.7,6,Canada,Wayfair
17/11/2024,Gadgets,Smartwatch,569.9,60,34194,4.9,10,Canada,Wayfair
04/08/2024,Accessories,Backpack,615.9,60,36954,3.9,1,USA,Williams-Sonoma
03/07/2024,Fashion,Running Shoes,215.09,11,2365.99,4.8,4,Australia,IKEA
09/06/2024,Gadgets,Portable Projector,371.11,32,11875.52,3.8,2,Germany,IKEA
25/08/2024,Fashion,Running Shoes,822.09,4,3288.36,4,7,UK,IKEA
23/11/2024,Gadgets,Smartwatch,599.74,59,35384.66,3.6,1,Canada,Urban Ladder
04/01/2025,Wellness,Yoga Mat,929.83,35,32544.05,4.8,6,Germany,Ashley Furniture
28/08/2024,Personal Care,Organic Skincare Set,967.65,10,9676.5,4.3,1,Germany,Wayfair
10/02/2024,Personal Care,Beard Grooming Kit,242.55,56,13582.8,4.9,3,Australia,Williams-Sonoma
31/12/2024,Personal Care,Beard Grooming Kit,1144.59,30,34337.7,4.5,5,Australia,Ashley Furniture
16/09/2024,Accessories,Sunglasses,983.36,23,22617.28,3.9,3,India,Urban Ladder
28/03/2024,Accessories,Sunglasses,817.61,7,5723.27,3.7,2,Germany,Williams-Sonoma
17/06/2024,Fashion,Silk Scarf,86.92,9,782.28,4,5,India,Urban Ladder
05/02/2025,Gadgets,Portable Projector,508.79,60,30527.4,4.8,5,USA,Ashley Furniture
22/03/2024,Personal Care,Electric Toothbrush,911.42,38,34633.96,3.9,7,USA,Wayfair
15/03/2024,Fashion,Running Shoes,359.74,53,19066.22,4,9,Australia,Williams-Sonoma
07/10/2024,Wellness,Yoga Mat,280.73,31,8702.63,5,1,Canada,Urban Ladder
06/04/2024,Wellness,Smart Water Bottle,617.71,53,32738.63,4,1,Australia,Urban Ladder
16/12/2024,Wellness,Aromatherapy Diffuser,253.42,34,8616.28,4.3,3,UK,IKEA
12/08/2024,Personal Care,Electric Toothbrush,354.03,53,18763.59,4.7,1,Germany,Urban Ladder
23/10/2024,Fashion,Silk Scarf,1158.95,17,19702.15,4.4,1,Germany,Urban Ladder
26/07/2024,Personal Care,Beard Grooming Kit,415.79,5,2078.95,4.9,7,Germany,Williams-Sonoma
19/07/2024,Gadgets,Portable Projector,134.7,8,1077.6,4.5,2,Australia,Williams-Sonoma
17/06/2024,Gadgets,Smartwatch,890.85,23,20489.55,4.7,2,Germany,Urban Ladder
13/09/2024,Wellness,Smart Water Bottle,227.25,60,13635,3.7,7,Australia,Ashley Furniture
27/10/2024,Wellness,Smart Water Bottle,1002.31,53,53122.43,4.3,3,Canada,IKEA
18/08/2024,Fashion,Silk Scarf,992.81,52,51626.12,4.6,1,Canada,IKEA
25/09/2024,Accessories,Sunglasses,1184.02,2,2368.04,3.6,9,UK,Ashley Furniture
27/01/2025,Fashion,Leather Jacket,458.89,34,15602.26,3.9,2,Australia,Ashley Furniture
27/05/2024,Personal Care,Organic Skincare Set,111.32,37,4118.84,3.9,10,UK,Ashley Furniture
14/11/2024,Gadgets,Noise Cancelling Headphones,142.58,11,1568.38,4.8,1,Germany,IKEA
26/06/2024,Fashion,Silk Scarf,115.56,10,1155.6,4.8,9,Germany,Williams-Sonoma
29/08/2024,Wellness,Smart Water Bottle,139.52,42,5859.84,4.7,7,Germany,Williams-Sonoma
27/04/2024,Personal Care,Electric Toothbrush,917.26,15,13758.9,3.7,1,Australia,Wayfair
14/07/2024,Gadgets,Smartwatch,152.76,6,916.56,4.3,7,Canada,Ashley Furniture
18/08/2024,Personal Care,Beard Grooming Kit,603.98,42,25367.16,4,7,Germany,Wayfair
06/10/2024,Personal Care,Beard Grooming Kit,1047.72,53,55529.16,4.9,6,India,Williams-Sonoma
10/10/2024,Personal Care,Beard Grooming Kit,309.42,9,2784.78,4.1,1,USA,Williams-Sonoma
16/08/2024,Personal Care,Beard Grooming Kit,1090.11,19,20712.09,5,5,Australia,Urban Ladder
02/12/2024,Personal Care,Organic Skincare Set,572.91,5,2864.55,4.6,8,Germany,IKEA
04/08/2024,Personal Care,Organic Skincare Set,732.55,44,32232.2,3.7,8,UK,Wayfair
18/11/2024,Accessories,Luxury Handbag,1118.77,44,49225.88,4.8,10,USA,Wayfair
09/07/2024,Accessories,Sunglasses,1012.41,1,1012.41,4.6,1,Germany,Williams-Sonoma
09/08/2024,Personal Care,Electric Toothbrush,105.31,36,3791.16,4.5,4,Canada,IKEA
05/12/2024,Accessories,Luxury Handbag,820.91,16,13134.56,4.8,10,Canada,IKEA
11/08/2024,Wellness,Yoga Mat,726.32,45,32684.4,3.7,10,USA,Ashley Furniture
24/12/2024,Accessories,Sunglasses,507.9,44,22347.6,3.7,7,USA,Ashley Furniture
20/09/2024,Personal Care,Organic Skincare Set,928.01,26,24128.26,3.8,5,Canada,Williams-Sonoma
25/08/2024,Accessories,Luxury Handbag,649.15,59,38299.85,4.6,5,UK,IKEA
12/07/2024,Accessories,Backpack,1142.12,9,10279.08,4.6,2,Australia,Ashley Furniture
15/04/2024,Wellness,Smart Water Bottle,775.94,22,17070.68,3.6,10,Australia,Urban Ladder
13/12/2024,Personal Care,Organic Skincare Set,392.2,3,1176.6,4.6,1,UK,IKEA
15/06/2024,Accessories,Sunglasses,778.9,34,26482.6,4.7,1,USA,Ashley Furniture
10/03/2024,Fashion,Running Shoes,803.25,46,36949.5,4.8,9,UK,Urban Ladder
30/01/2025,Fashion,Running Shoes,109.12,58,6328.96,4.4,3,Australia,Urban Ladder
31/01/2025,Fashion,Leather Jacket,1099.62,56,61578.72,4.1,3,India,Ashley Furniture
27/08/2024,Accessories,Backpack,957.06,52,49767.12,4.9,8,UK,Urban Ladder
22/03/2024,Personal Care,Electric Toothbrush,537.96,9,4841.64,4.3,8,Germany,Williams-Sonoma
08/05/2024,Fashion,Leather Jacket,1193.86,58,69243.88,4.3,1,India,Wayfair
28/04/2024,Fashion,Silk Scarf,900.91,47,42342.77,4.5,1,USA,Ashley Furniture
29/01/2025,Wellness,Smart Water Bottle,584.9,17,9943.3,4.6,8,Australia,Ashley Furniture
23/12/2024,Personal Care,Organic Skincare Set,484.22,43,20821.46,4.9,10,Canada,Williams-Sonoma
18/08/2024,Personal Care,Organic Skincare Set,190.02,39,7410.78,3.9,6,UK,IKEA
04/09/2024,Fashion,Running Shoes,800.14,4,3200.56,4.8,4,Australia,IKEA
22/12/2024,Wellness,Aromatherapy Diffuser,850.18,33,28055.94,3.9,4,Canada,Urban Ladder
03/06/2024,Accessories,Luxury Handbag,135.43,46,6229.78,4.7,10,India,Urban Ladder
02/07/2024,Accessories,Luxury Handbag,1006.37,1,1006.37,4.5,10,India,Urban Ladder
09/10/2024,Personal Care,Organic Skincare Set,115.54,2,231.08,3.9,6,USA,Ashley Furniture
19/01/2025,Accessories,Backpack,334.28,57,19053.96,3.8,6,India,IKEA
17/02/2024,Fashion,Running Shoes,1133.28,51,57797.28,4.9,7,USA,Williams-Sonoma
06/10/2024,Fashion,Silk Scarf,557.18,58,32316.44,4.5,4,UK,Williams-Sonoma
10/04/2024,Gadgets,Noise Cancelling Headphones,523.5,34,17799,4.2,7,Australia,Urban Ladder
10/04/2024,Fashion,Silk Scarf,241.33,18,4343.94,4.9,5,UK,Urban Ladder
14/01/2025,Gadgets,Smartwatch,269.82,13,3507.66,4.3,8,Australia,Ashley Furniture
17/08/2024,Personal Care,Electric Toothbrush,113.1,5,565.5,5,9,UK,Ashley Furniture
11/08/2024,Wellness,Smart Water Bottle,1099.21,7,7694.47,3.9,8,UK,Williams-Sonoma
09/08/2024,Personal Care,Electric Toothbrush,130.24,31,4037.44,5,8,India,Ashley Furniture
23/01/2025,Accessories,Sunglasses,425.78,27,11496.06,4.7,4,USA,Ashley Furniture
13/05/2024,Wellness,Aromatherapy Diffuser,391.71,37,14493.27,3.8,9,Australia,Urban Ladder
14/05/2024,Personal Care,Electric Toothbrush,35.32,25,883,3.6,10,Australia,Urban Ladder
11/04/2024,Accessories,Luxury Handbag,593.99,31,18413.69,4.7,2,UK,IKEA
19/03/2024,Gadgets,Portable Projector,585.99,9,5273.91,4.1,9,UK,Ashley Furniture
14/08/2024,Wellness,Aromatherapy Diffuser,207.56,28,5811.68,4.1,9,UK,Wayfair
23/07/2024,Wellness,Smart Water Bottle,510.39,51,26029.89,3.5,2,Germany,Ashley Furniture
01/11/2024,Gadgets,Smartwatch,164.02,6,984.12,4.4,10,India,IKEA
15/06/2024,Personal Care,Organic Skincare Set,1065.27,25,26631.75,4.7,10,UK,Urban Ladder
24/10/2024,Wellness,Aromatherapy Diffuser,1158.9,30,34767,4.5,5,Germany,Wayfair
09/10/2024,Wellness,Smart Water Bottle,812.23,60,48733.8,4.8,1,USA,Ashley Furniture
26/08/2024,Accessories,Luxury Handbag,1190.76,13,15479.88,5,1,USA,Urban Ladder
22/10/2024,Personal Care,Organic Skincare Set,308.15,2,616.3,3.7,7,USA,Williams-Sonoma
29/03/2024,Gadgets,Portable Projector,694.87,40,27794.8,3.9,10,UK,Urban Ladder
14/12/2024,Gadgets,Portable Projector,349.97,39,13648.83,4.8,4,UK,Wayfair
28/03/2024,Gadgets,Smartwatch,779.27,34,26495.18,4.7,3,Australia,Urban Ladder
28/05/2024,Accessories,Sunglasses,222.37,60,13342.2,4.2,9,Australia,Urban Ladder
03/06/2024,Gadgets,Noise Cancelling Headphones,1078.97,27,29132.19,3.8,2,Canada,Wayfair
12/03/2024,Accessories,Backpack,766.23,43,32947.89,3.9,10,Australia,Wayfair
21/07/2024,Accessories,Luxury Handbag,242.17,9,2179.53,4.3,5,USA,Urban Ladder
29/06/2024,Fashion,Running Shoes,736.91,49,36108.59,4,5,Canada,Wayfair
06/07/2024,Fashion,Leather Jacket,1185.89,54,64038.06,3.8,3,India,IKEA
06/12/2024,Accessories,Sunglasses,569.91,60,34194.6,3.7,4,USA,Urban Ladder
18/12/2024,Gadgets,Noise Cancelling Headphones,921.12,43,39608.16,4.7,4,Australia,Williams-Sonoma
06/12/2024,Accessories,Luxury Handbag,626.79,36,22564.44,4.9,2,Australia,Wayfair
21/07/2024,Accessories,Sunglasses,1114.78,15,16721.7,4.6,2,Canada,Wayfair
09/12/2024,Wellness,Yoga Mat,911.23,22,20047.06,4.5,8,Australia,Williams-Sonoma
11/12/2024,Gadgets,Portable Projector,157.52,55,8663.6,3.7,8,Canada,IKEA
15/08/2024,Personal Care,Beard Grooming Kit,606.78,44,26698.32,4.3,2,Germany,IKEA
20/02/2024,Wellness,Smart Water Bottle,1191.1,58,69083.8,4.9,9,Australia,IKEA
03/02/2025,Wellness,Yoga Mat,442.13,13,5747.69,4.1,9,Australia,IKEA
23/09/2024,Personal Care,Electric Toothbrush,487.72,53,25849.16,4.1,9,UK,IKEA
24/07/2024,Gadgets,Portable Projector,498.59,12,5983.08,4.1,2,Australia,Ashley Furniture
13/09/2024,Personal Care,Beard Grooming Kit,1016.97,36,36610.92,4.4,7,Germany,IKEA
25/06/2024,Personal Care,Electric Toothbrush,1156.84,23,26607.32,4.3,3,Germany,Williams-Sonoma
22/08/2024,Gadgets,Noise Cancelling Headphones,640.18,13,8322.34,3.6,3,Germany,IKEA
23/01/2025,Accessories,Sunglasses,131.66,24,3159.84,3.5,10,Canada,Wayfair
17/06/2024,Personal Care,Organic Skincare Set,23.44,49,1148.56,3.8,3,India,Urban Ladder
09/09/2024,Wellness,Smart Water Bottle,1035.16,50,51758,4.9,6,Canada,IKEA
08/02/2024,Gadgets,Smartwatch,522.7,31,16203.7,4,2,UK,Williams-Sonoma
10/02/2024,Fashion,Leather Jacket,1141.45,60,68487,3.5,1,Canada,Wayfair
29/04/2024,Wellness,Smart Water Bottle,757.58,51,38636.58,3.7,7,Canada,Williams-Sonoma
10/11/2024,Accessories,Luxury Handbag,626.5,20,12530,4.8,4,Australia,Williams-Sonoma
16/02/2024,Personal Care,Organic Skincare Set,47.76,49,2340.24,4.9,2,India,Urban Ladder
27/06/2024,Accessories,Luxury Handbag,49.86,48,2393.28,3.8,2,Germany,Ashley Furniture
27/06/2024,Personal Care,Electric Toothbrush,892.18,41,36579.38,4.3,5,India,Williams-Sonoma
25/01/2025,Wellness,Smart Water Bottle,213.85,43,9195.55,3.6,3,USA,Wayfair
17/11/2024,Fashion,Silk Scarf,993.31,50,49665.5,4.3,7,Canada,Ashley Furniture
21/06/2024,Personal Care,Electric Toothbrush,1064.09,47,50012.23,4.6,2,USA,Williams-Sonoma
30/04/2024,Personal Care,Organic Skincare Set,1104.89,56,61873.84,3.9,7,Canada,Urban Ladder
26/05/2024,Fashion,Silk Scarf,207.14,36,7457.04,4.3,5,Australia,Ashley Furniture
21/05/2024,Fashion,Silk Scarf,722.59,60,43355.4,4,6,Australia,Ashley Furniture
11/05/2024,Fashion,Leather Jacket,868.98,47,40842.06,4.1,1,UK,Urban Ladder
18/09/2024,Accessories,Backpack,174.47,55,9595.85,4.4,5,UK,IKEA
05/05/2024,Gadgets,Portable Projector,1068.28,23,24570.44,5,8,India,Urban Ladder
21/03/2024,Fashion,Silk Scarf,1068.97,45,48103.65,4.7,3,India,IKEA
05/09/2024,Personal Care,Beard Grooming Kit,577.95,2,1155.9,4.5,9,Canada,Williams-Sonoma
23/03/2024,Wellness,Yoga Mat,724.84,27,19570.68,3.8,9,Canada,IKEA
15/09/2024,Wellness,Yoga Mat,1147.55,16,18360.8,4.8,7,USA,Ashley Furniture
18/04/2024,Accessories,Sunglasses,448.32,28,12552.96,3.9,9,India,Williams-Sonoma
05/03/2024,Gadgets,Smartwatch,395.98,17,6731.66,4.3,8,Australia,IKEA
15/08/2024,Gadgets,Noise Cancelling Headphones,124.12,26,3227.12,4.8,7,Canada,Ashley Furniture
13/11/2024,Gadgets,Smartwatch,451.1,43,19397.3,4.1,8,USA,Williams-Sonoma
20/09/2024,Accessories,Luxury Handbag,344.41,14,4821.74,4.2,2,Germany,Wayfair
02/09/2024,Wellness,Smart Water Bottle,537.6,29,15590.4,4.2,10,UK,Ashley Furniture
06/07/2024,Accessories,Luxury Handbag,1053.95,28,29510.6,3.9,5,UK,Ashley Furniture
05/06/2024,Accessories,Backpack,358.67,54,19368.18,4,10,USA,Wayfair
27/06/2024,Personal Care,Beard Grooming Kit,349.11,47,16408.17,3.7,9,Australia,Urban Ladder
02/08/2024,Accessories,Backpack,598.59,54,32323.86,3.5,1,USA,Wayfair
06/04/2024,Accessories,Backpack,285.04,36,10261.44,4.2,1,Germany,Ashley Furniture
